customer_id,age,gender,location,customer_tenure_years,policy_type,monthly_premium,coverage_level,claims_last_year,payment_delay_days,customer_satisfaction,customer_service_interactions,churn
36,37,M,Urban,9,Third_Party,212.88,Medium,0,13,3,4,0
37,45,F,Suburban,10,Basic,141.12,High,0,14,3,1,0
38,43,M,Suburban,16,Comprehensive,342.0,High,0,0,3,3,0
39,38,M,Urban,5,Comprehensive,297.32,Low,0,13,3,1,0
40,47,F,Urban,1,Comprehensive,300.08,Low,1,0,4,0,0
41,56,F,Rural,16,Basic,118.45,High,2,0,3,4,0
42,44,M,Urban,4,Comprehensive,311.45,Medium,1,13,5,3,0
43,45,M,Suburban,26,Third_Party,240.17,Medium,0,0,5,4,0
44,63,F,Urban,13,Third_Party,280.5,High,0,0,2,2,0
45,25,F,Urban,9,Third_Party,209.75,Medium,1,18,1,3,1
46,42,F,Urban,9,Basic,100.0,High,3,0,5,1,0
47,47,M,Urban,42,Third_Party,228.35,Medium,1,12,2,0,0
48,50,M,Suburban,2,Comprehensive,333.71,Medium,0,0,4,4,0
49,65,M,Urban,11,Third_Party,273.61,Low,0,0,2,0,0
50,58,F,Urban,7,Comprehensive,313.83,Medium,0,0,2,2,0
51,42,M,Suburban,5,Comprehensive,316.85,Medium,1,0,5,2,0
52,52,F,Urban,2,Comprehensive,322.68,High,0,0,5,2,0
53,33,F,Suburban,3,Comprehensive,301.0,High,1,0,4,1,0
54,39,F,Suburban,1,Basic,117.36,Medium,0,0,1,2,0
55,50,F,Urban,1,Third_Party,249.09,Low,2,0,2,2,0
56,32,M,Urban,4,Third_Party,178.5,High,0,15,4,0,1
57,60,F,Urban,2,Third_Party,184.87,High,0,0,3,0,0
58,38,F,Suburban,3,Comprehensive,331.24,Medium,1,0,2,3,0
59,41,M,Suburban,3,Third_Party,203.53,High,1,0,4,3,0
60,38,F,Urban,2,Comprehensive,285.65,High,0,8,5,2,0
61,48,F,Urban,11,Basic,122.3,Medium,1,0,2,4,0
62,50,M,Urban,3,Basic,130.6,Medium,0,0,5,2,0
63,44,F,Urban,5,Comprehensive,280.78,High,0,0,4,0,0
64,39,F,Urban,2,Third_Party,237.23,High,0,0,5,2,0
65,48,F,Rural,15,Basic,111.92,Low,0,0,1,3,0
66,50,F,Urban,2,Basic,132.89,Low,1,0,5,3,0
67,38,F,Urban,3,Third_Party,169.59,High,1,0,5,4,0
68,56,F,Urban,2,Basic,138.19,Medium,0,19,3,1,1
69,60,F,Urban,11,Comprehensive,333.04,High,0,10,3,1,0
70,35,F,Rural,7,Comprehensive,321.47,Medium,0,0,3,1,0
71,46,F,Urban,4,Basic,139.71,High,0,10,5,2,0
72,50,M,Rural,14,Comprehensive,296.69,High,0,0,3,4,0
73,70,F,Urban,4,Third_Party,253.48,Medium,0,0,3,1,0
74,28,F,Urban,5,Third_Party,200.6,High,0,14,5,1,1
75,44,M,Suburban,4,Third_Party,193.22,Medium,1,0,3,1,0
76,50,M,Suburban,17,Comprehensive,307.12,Medium,0,15,4,0,0
77,37,F,Urban,12,Comprehensive,309.74,Medium,0,0,3,0,0
78,33,M,Urban,1,Third_Party,204.6,Low,0,0,4,2,0
79,47,F,Suburban,16,Comprehensive,303.65,Medium,0,0,1,2,0
80,37,M,Urban,6,Third_Party,227.73,Medium,0,0,3,2,0
81,41,M,Urban,2,Third_Party,212.32,Low,2,0,4,2,0
82,62,M,Urban,12,Third_Party,225.35,Medium,0,0,3,2,0
83,57,F,Suburban,4,Third_Party,187.9,High,0,18,2,4,1
84,51,M,Urban,2,Third_Party,229.32,Low,1,0,1,1,0
85,28,M,Suburban,5,Comprehensive,296.04,Medium,1,0,3,0,0
86,54,M,Suburban,6,Comprehensive,297.42,Medium,1,0,4,1,0
87,50,M,Urban,1,Comprehensive,297.99,Low,0,0,3,1,0
88,36,M,Urban,3,Basic,100.0,Medium,2,0,4,0,0
89,51,F,Rural,1,Third_Party,195.52,Low,0,0,5,2,0
90,41,F,Suburban,4,Third_Party,204.36,Low,0,12,3,1,1
91,44,F,Suburban,2,Third_Party,232.01,High,0,17,2,2,1
92,47,F,Suburban,2,Third_Party,238.67,Medium,0,0,2,4,0
93,45,M,Urban,3,Comprehensive,306.85,Medium,1,0,3,1,0
94,40,M,Urban,3,Third_Party,210.78,Medium,0,0,1,4,0
95,45,M,Urban,15,Third_Party,241.81,High,2,14,3,5,0
96,52,F,Urban,2,Third_Party,199.91,Low,0,0,4,0,0
97,25,M,Urban,7,Comprehensive,257.1,Medium,0,19,5,4,1
98,61,F,Urban,5,Third_Party,222.15,Medium,0,0,4,2,0
99,41,M,Urban,8,Third_Party,193.43,High,1,11,3,3,0
100,50,F,Urban,2,Comprehensive,318.22,Medium,1,0,2,2,0
101,44,F,Urban,1,Comprehensive,340.89,Medium,0,0,1,0,0
102,56,F,Urban,4,Third_Party,254.51,High,0,0,3,2,0
103,50,M,Urban,11,Third_Party,247.17,Medium,2,0,4,3,0
104,36,F,Urban,8,Comprehensive,302.37,High,1,0,3,3,0
105,52,F,Urban,5,Third_Party,199.8,Medium,1,13,4,1,0
106,49,F,Rural,1,Comprehensive,332.72,High,0,0,2,2,0
107,48,M,Suburban,1,Third_Party,212.68,High,0,0,4,3,0
108,23,F,Urban,2,Third_Party,213.67,Medium,0,0,2,2,0
109,51,F,Rural,4,Comprehensive,311.77,High,1,0,3,3,0
110,59,F,Rural,11,Comprehensive,333.86,Medium,0,18,1,3,1
111,57,F,Suburban,4,Comprehensive,331.08,Medium,0,0,5,2,0
112,44,F,Urban,5,Basic,138.81,Medium,0,0,3,0,0
113,43,M,Urban,4,Third_Party,204.94,Medium,0,0,4,3,0
114,44,F,Urban,2,Basic,170.04,Medium,1,0,4,2,0
115,42,F,Urban,1,Third_Party,216.08,Low,0,0,2,3,0
116,54,F,Urban,1,Third_Party,264.84,Medium,2,0,4,1,0
117,46,M,Suburban,9,Basic,142.0,High,0,0,5,2,0
118,39,M,Urban,9,Third_Party,214.61,Medium,0,11,1,0,0
119,55,F,Urban,7,Comprehensive,316.54,Medium,1,0,3,2,0
120,55,F,Suburban,4,Comprehensive,316.64,High,2,0,5,2,0
121,59,M,Suburban,8,Third_Party,260.7,Medium,0,21,4,2,1
122,56,F,Urban,2,Third_Party,227.27,High,0,0,2,1,0
123,48,F,Urban,2,Third_Party,221.46,Medium,1,14,3,0,0
124,32,M,Suburban,3,Comprehensive,284.81,Medium,0,0,2,1,0
125,53,M,Urban,4,Comprehensive,340.7,High,2,11,3,1,0
126,45,F,Urban,1,Comprehensive,303.63,Medium,1,0,4,0,0
127,46,F,Urban,11,Comprehensive,316.55,High,0,0,2,2,0
128,51,M,Urban,7,Comprehensive,301.27,Medium,1,0,2,6,0
129,56,F,Urban,2,Third_Party,254.14,High,1,0,5,0,0
130,42,M,Suburban,9,Third_Party,250.07,Medium,1,0,3,5,0
131,46,M,Urban,1,Basic,102.43,Medium,0,0,4,2,0
132,41,M,Urban,3,Third_Party,249.74,High,1,0,2,3,0
133,33,F,Urban,4,Basic,100.0,High,0,0,4,5,0
134,47,F,Suburban,2,Comprehensive,304.97,Medium,0,0,3,1,0
135,54,M,Suburban,5,Basic,114.65,Medium,0,0,4,2,0
136,43,F,Suburban,7,Basic,123.61,High,1,0,2,2,0
137,47,F,Urban,1,Comprehensive,336.03,High,1,0,1,3,0
138,62,M,Urban,10,Comprehensive,321.99,High,0,12,4,2,0
139,36,F,Urban,5,Third_Party,255.3,Low,0,20,4,0,1
140,43,F,Suburban,6,Basic,100.0,Medium,0,0,3,2,0
141,36,F,Rural,4,Basic,150.78,High,1,10,2,2,0
142,37,M,Suburban,3,Third_Party,213.98,High,0,12,2,3,1
143,57,F,Suburban,27,Basic,104.31,Medium,1,15,3,2,0
144,51,M,Urban,5,Third_Party,223.68,Medium,1,0,2,3,0
145,45,M,Rural,10,Basic,138.1,Medium,0,0,5,0,0
146,48,F,Suburban,10,Comprehensive,324.16,High,0,0,4,1,0
147,26,M,Suburban,4,Basic,123.16,High,0,0,3,5,0
148,56,F,Urban,12,Comprehensive,325.35,Medium,1,0,3,1,0
149,34,F,Suburban,20,Comprehensive,318.76,Medium,1,0,2,5,0
150,45,F,Suburban,2,Third_Party,208.31,Medium,0,0,3,4,0
151,18,M,Rural,2,Third_Party,200.27,Medium,1,0,5,1,0
152,44,F,Urban,27,Third_Party,222.57,High,1,0,3,0,0
153,38,F,Suburban,7,Third_Party,208.15,High,0,0,3,4,0
154,54,F,Urban,2,Third_Party,226.03,High,0,0,5,4,0
155,39,F,Urban,1,Comprehensive,246.93,Medium,0,10,3,1,0
156,44,M,Rural,5,Basic,145.93,Medium,0,0,2,1,0
157,43,F,Urban,3,Third_Party,252.93,Medium,0,0,2,5,0
158,40,F,Rural,10,Comprehensive,343.15,Medium,1,0,3,1,0
159,33,F,Urban,8,Basic,117.75,Low,0,0,2,0,0
160,40,F,Urban,1,Basic,100.0,Medium,0,17,4,1,1
161,56,M,Urban,3,Third_Party,244.78,Low,0,0,3,4,0
162,42,M,Urban,6,Comprehensive,315.33,Medium,0,0,3,4,0
163,60,M,Urban,9,Comprehensive,335.16,Medium,1,0,3,2,0
164,25,M,Suburban,6,Comprehensive,276.82,Medium,1,0,4,5,0
165,57,F,Urban,8,Third_Party,228.5,Low,1,0,5,3,0
166,44,M,Urban,7,Third_Party,209.03,Medium,0,18,5,2,1
167,63,F,Urban,11,Third_Party,249.17,Medium,1,0,4,1,0
168,35,M,Suburban,25,Comprehensive,289.57,Medium,1,0,5,2,0
169,56,M,Suburban,5,Third_Party,218.2,Low,0,13,5,1,0
170,24,F,Urban,7,Comprehensive,284.49,Medium,0,0,4,1,0
171,29,F,Urban,9,Comprehensive,311.5,Medium,0,0,5,2,0
172,65,F,Suburban,5,Third_Party,271.12,High,1,15,4,0,0
173,56,F,Urban,7,Third_Party,217.41,Low,1,0,1,1,0
174,43,F,Urban,2,Comprehensive,334.02,High,2,0,3,2,0
175,56,F,Suburban,3,Comprehensive,313.92,High,0,0,5,1,0
176,27,F,Urban,3,Basic,134.16,High,1,14,3,0,1
177,47,M,Urban,4,Comprehensive,301.18,Low,0,18,5,1,1
178,57,F,Urban,17,Third_Party,211.77,Medium,0,12,3,3,0
179,39,F,Urban,1,Comprehensive,298.47,Low,1,0,2,2,0
180,50,M,Urban,15,Comprehensive,310.31,Medium,0,17,3,4,0
181,37,F,Urban,11,Basic,102.29,Medium,0,0,2,0,0
182,51,F,Suburban,1,Third_Party,233.49,High,0,0,4,1,0
183,40,M,Rural,4,Comprehensive,340.2,Medium,1,0,4,3,0
184,51,M,Suburban,2,Third_Party,216.25,Medium,1,0,4,4,0
185,53,F,Suburban,5,Third_Party,226.14,Low,0,0,4,5,0
186,47,M,Urban,9,Third_Party,259.77,Medium,1,15,1,5,1
187,39,M,Suburban,12,Comprehensive,288.44,High,1,0,3,1,0
188,47,F,Urban,5,Basic,121.91,Low,2,0,2,2,0
189,45,F,Urban,5,Basic,117.16,Medium,2,11,3,3,0
190,43,M,Rural,4,Comprehensive,301.93,Low,1,0,5,2,0
191,39,F,Rural,3,Basic,111.29,Low,0,17,3,4,1
192,37,F,Urban,3,Third_Party,204.01,Medium,0,12,4,2,0
193,25,F,Urban,2,Basic,115.02,Low,0,0,2,6,0
194,51,M,Urban,5,Basic,122.85,Medium,0,15,5,1,0
195,39,M,Urban,8,Basic,117.69,Low,1,18,3,3,1
196,63,M,Urban,2,Basic,100.0,Medium,0,0,3,2,0
197,54,M,Suburban,12,Comprehensive,351.71,Medium,0,0,4,2,0
198,56,F,Rural,1,Third_Party,237.35,Medium,0,0,2,5,0
199,26,M,Urban,4,Third_Party,189.64,Medium,1,14,5,3,1
200,45,M,Urban,3,Third_Party,263.92,Low,1,15,5,0,0
201,37,M,Suburban,4,Third_Party,186.9,Low,0,0,3,2,0
202,44,M,Urban,6,Comprehensive,287.11,Low,0,0,3,0,0
203,41,F,Suburban,9,Third_Party,201.86,High,0,0,4,2,0
204,37,M,Urban,2,Third_Party,215.37,High,1,12,4,3,0
205,29,M,Urban,10,Basic,132.4,Medium,2,0,2,0,0
206,53,F,Urban,2,Basic,109.85,High,0,0,2,2,0
207,42,M,Urban,15,Third_Party,204.8,High,1,0,1,1,0
208,47,F,Urban,6,Comprehensive,316.38,High,0,8,1,1,0
209,28,F,Urban,4,Third_Party,192.29,Medium,0,0,4,0,0
210,52,M,Urban,8,Third_Party,246.19,Low,1,0,1,1,0
211,42,F,Suburban,9,Third_Party,246.47,Medium,3,0,5,2,0
212,56,M,Urban,3,Third_Party,225.33,Medium,0,13,3,0,0
213,58,F,Urban,3,Comprehensive,350.41,Medium,0,0,1,2,0
214,39,M,Suburban,23,Third_Party,252.93,Medium,0,0,5,0,0
215,50,M,Urban,3,Third_Party,225.13,High,0,0,4,1,0
216,41,F,Suburban,13,Third_Party,230.84,Medium,0,25,2,1,1
217,33,M,Urban,5,Comprehensive,294.11,Medium,0,19,3,1,1
218,36,M,Urban,18,Third_Party,172.81,Medium,0,0,2,3,0
219,56,F,Urban,6,Basic,167.17,High,0,0,1,0,0
220,29,F,Suburban,2,Third_Party,211.42,Medium,1,10,3,3,1
221,48,M,Urban,4,Comprehensive,309.41,Medium,1,0,4,1,0
222,58,F,Suburban,5,Basic,183.32,Medium,2,18,3,2,1
223,43,F,Urban,10,Third_Party,241.38,High,1,14,2,2,1
224,42,F,Urban,7,Third_Party,202.34,Medium,0,0,4,2,0
225,39,F,Rural,1,Basic,136.63,Medium,2,0,4,6,0
226,44,M,Rural,4,Basic,108.5,High,0,0,2,2,0
227,45,F,Urban,3,Comprehensive,318.42,High,0,0,5,2,0
228,37,F,Urban,3,Comprehensive,280.87,Medium,2,13,1,3,1
229,58,F,Urban,2,Third_Party,206.02,Medium,1,0,3,2,0
230,52,F,Suburban,7,Third_Party,236.33,High,0,0,1,1,0
231,44,M,Suburban,3,Third_Party,184.22,High,0,0,4,0,0
232,56,M,Urban,1,Comprehensive,307.48,Medium,0,18,2,0,1
233,31,M,Urban,10,Third_Party,191.51,Medium,0,21,4,3,1
234,64,M,Urban,3,Third_Party,266.05,High,0,0,3,6,0
235,47,M,Urban,6,Comprehensive,303.06,Medium,0,0,1,3,0
236,32,F,Urban,3,Comprehensive,314.7,Medium,1,0,3,2,0
237,54,F,Suburban,3,Comprehensive,349.55,Low,0,0,1,3,0
238,51,M,Rural,12,Basic,107.93,Medium,0,0,3,2,0
239,42,F,Urban,4,Comprehensive,282.61,High,0,0,3,1,0
240,44,F,Suburban,5,Basic,100.0,Low,1,0,1,1,0
241,42,F,Urban,3,Third_Party,221.64,Medium,0,0,3,3,0
242,45,M,Urban,10,Comprehensive,319.65,High,0,0,3,1,0
243,37,M,Urban,4,Basic,102.56,Medium,1,0,4,6,0
244,38,F,Suburban,2,Comprehensive,304.28,High,1,0,2,3,0
245,36,F,Suburban,13,Third_Party,187.25,High,0,0,4,2,0
246,65,M,Suburban,2,Third_Party,239.26,Medium,0,0,5,1,0
247,53,F,Suburban,4,Third_Party,215.35,Low,0,0,4,0,0
248,32,M,Urban,2,Third_Party,200.22,Medium,1,12,2,1,1
249,46,M,Urban,2,Comprehensive,308.33,Medium,4,18,1,2,1
250,56,F,Urban,2,Basic,157.68,Low,0,0,4,0,0
251,51,M,Urban,2,Third_Party,221.75,Medium,1,0,5,2,0
252,44,M,Suburban,4,Third_Party,203.68,Medium,0,0,3,2,0
253,38,M,Urban,3,Comprehensive,323.93,Low,3,0,3,2,0
254,32,F,Urban,2,Comprehensive,290.29,High,0,0,3,0,0
255,47,M,Urban,3,Comprehensive,304.96,Medium,1,0,2,3,0
256,42,M,Urban,16,Third_Party,214.02,Medium,1,0,4,1,0
257,39,M,Urban,11,Third_Party,194.58,High,0,0,4,0,0
258,52,F,Rural,4,Basic,134.73,Medium,0,0,3,2,0
259,46,M,Urban,3,Basic,144.05,Medium,0,0,3,0,0
260,19,F,Rural,1,Comprehensive,252.01,Medium,0,0,4,3,0
261,51,F,Suburban,4,Basic,134.75,Medium,0,0,4,2,0
262,42,M,Suburban,9,Third_Party,246.99,Medium,1,0,3,1,0
263,49,M,Urban,16,Basic,152.53,Medium,0,0,2,2,0
264,47,M,Urban,5,Basic,100.0,High,2,14,4,3,0
265,39,F,Suburban,3,Comprehensive,309.55,Medium,0,18,4,3,1
266,53,M,Urban,3,Comprehensive,315.04,Low,0,19,4,1,1
267,63,F,Urban,11,Third_Party,237.5,Medium,0,16,4,0,0
268,34,M,Urban,11,Comprehensive,313.7,Medium,0,0,3,3,0
269,41,M,Urban,5,Basic,123.37,Medium,0,0,4,2,0
270,60,M,Rural,1,Basic,115.93,Medium,0,0,2,1,0
271,50,M,Urban,6,Basic,121.93,Low,1,0,4,2,0
272,35,M,Urban,4,Third_Party,184.93,Low,1,0,3,3,0
273,30,M,Suburban,2,Basic,102.0,High,0,0,4,3,0
274,46,M,Rural,1,Comprehensive,340.97,Medium,1,0,5,3,0
275,29,M,Urban,3,Comprehensive,304.77,High,0,23,1,2,1
276,47,M,Urban,5,Basic,144.45,Medium,0,0,1,2,0
277,43,F,Suburban,10,Third_Party,228.65,Medium,0,0,2,1,0
278,43,M,Suburban,1,Third_Party,225.03,High,0,0,4,2,0
279,62,M,Urban,6,Comprehensive,355.13,High,0,9,4,2,0
280,38,M,Suburban,3,Third_Party,248.3,High,1,0,2,6,0
281,59,M,Urban,8,Third_Party,246.73,Medium,0,0,3,3,0
282,31,M,Rural,12,Third_Party,230.04,High,0,0,3,2,0
283,64,M,Urban,15,Third_Party,222.27,Medium,0,12,2,0,0
284,25,M,Suburban,1,Comprehensive,297.11,Low,0,14,1,1,1
285,50,M,Urban,12,Basic,104.22,Medium,1,0,3,1,0
286,28,M,Suburban,5,Basic,100.0,High,2,24,1,4,1
287,55,F,Urban,4,Third_Party,186.69,Medium,0,17,4,4,0
288,50,F,Urban,7,Comprehensive,304.15,Medium,0,0,4,3,0
289,37,M,Suburban,2,Third_Party,188.13,Medium,0,0,4,2,0
290,39,F,Urban,2,Third_Party,217.35,Medium,0,0,2,3,0
291,45,M,Urban,4,Comprehensive,280.31,Low,1,0,3,0,0
292,47,F,Urban,3,Comprehensive,317.42,Medium,0,0,2,2,0
293,42,M,Suburban,9,Basic,120.0,Medium,0,0,2,3,0
294,46,M,Suburban,10,Third_Party,220.34,Low,0,14,3,3,0
295,57,F,Urban,13,Third_Party,222.15,Low,0,0,3,4,0
296,47,F,Suburban,3,Comprehensive,302.85,Medium,1,0,4,1,0
297,38,M,Urban,3,Comprehensive,293.81,Medium,0,17,3,0,1
298,33,F,Urban,4,Third_Party,215.07,Medium,0,16,1,3,1
299,55,F,Urban,8,Basic,158.02,High,0,0,5,7,0
300,48,F,Urban,4,Third_Party,203.44,Medium,0,0,4,1,0
301,53,F,Rural,5,Comprehensive,313.12,Medium,0,0,4,4,0
302,34,M,Urban,3,Third_Party,214.04,Medium,0,0,3,1,0
303,49,F,Suburban,3,Third_Party,196.76,Low,1,18,3,0,1
304,59,F,Urban,4,Third_Party,240.09,Medium,0,0,4,3,0
305,48,M,Urban,2,Third_Party,229.52,Medium,0,0,3,0,0
306,51,F,Urban,11,Comprehensive,311.8,Medium,0,0,5,3,0
307,32,M,Rural,1,Third_Party,222.64,High,1,16,5,6,1
308,60,M,Suburban,2,Third_Party,248.07,High,1,0,4,3,0
309,51,F,Urban,5,Comprehensive,331.45,High,0,0,3,4,0
310,45,F,Suburban,7,Third_Party,194.27,Low,0,0,4,1,0
311,41,F,Urban,7,Comprehensive,337.65,High,1,0,2,6,0
312,42,F,Urban,2,Third_Party,184.71,Medium,1,0,4,1,0
313,44,F,Suburban,1,Comprehensive,295.97,Medium,1,17,5,3,1
314,38,F,Urban,30,Third_Party,219.97,Low,0,7,1,0,0
315,42,F,Suburban,1,Third_Party,202.87,Medium,0,0,3,1,0
316,40,F,Suburban,9,Third_Party,191.94,High,0,0,5,1,0
317,40,M,Rural,2,Comprehensive,303.63,High,1,0,2,1,0
318,36,M,Urban,3,Third_Party,239.44,Medium,0,0,5,1,0
319,30,F,Suburban,4,Comprehensive,303.13,Medium,0,0,3,2,0
320,21,M,Urban,7,Third_Party,235.55,Medium,2,0,2,4,0
321,62,F,Urban,4,Third_Party,234.31,Medium,0,13,4,1,0
322,42,F,Urban,2,Basic,126.24,High,0,0,1,2,0
323,59,F,Urban,2,Third_Party,209.74,Medium,0,0,3,1,0
324,40,F,Urban,3,Third_Party,193.9,High,0,13,5,3,0
325,33,M,Suburban,2,Third_Party,223.33,High,1,0,1,0,0
326,48,M,Urban,6,Third_Party,210.45,High,0,0,4,0,0
327,53,M,Suburban,1,Third_Party,227.15,Low,0,0,5,2,0
328,42,M,Urban,2,Third_Party,162.85,Medium,0,18,3,2,1
329,39,M,Urban,5,Comprehensive,276.55,High,1,0,3,1,0
330,39,F,Urban,4,Basic,113.75,High,0,0,3,1,0
331,39,F,Urban,6,Third_Party,221.69,Medium,0,0,3,2,0
332,48,M,Urban,8,Comprehensive,325.08,Low,0,14,3,0,0
333,45,F,Urban,8,Comprehensive,332.17,High,0,0,3,0,0
334,47,F,Suburban,15,Third_Party,236.2,Medium,1,18,4,2,0
335,54,M,Suburban,6,Third_Party,249.37,Medium,1,0,3,0,0
336,41,M,Urban,3,Comprehensive,291.88,Medium,1,0,1,1,0
337,45,M,Suburban,2,Comprehensive,246.43,Low,0,0,4,6,0
338,62,M,Rural,4,Comprehensive,322.1,Medium,1,0,3,1,0
339,57,F,Suburban,2,Comprehensive,316.07,Medium,1,0,3,2,0
340,42,M,Urban,2,Comprehensive,320.73,Medium,0,19,3,3,1
341,43,F,Urban,5,Comprehensive,305.62,Medium,0,0,2,2,0
342,51,F,Suburban,1,Comprehensive,322.22,Medium,0,0,4,3,0
343,44,M,Suburban,3,Comprehensive,314.01,Low,0,0,3,2,0
344,51,F,Rural,5,Third_Party,247.55,Medium,1,0,4,2,0
345,29,F,Urban,10,Third_Party,149.46,Low,0,0,4,3,0
346,43,F,Urban,2,Third_Party,222.51,Medium,0,0,2,2,0
347,46,F,Suburban,5,Basic,124.07,High,1,0,4,0,0
348,46,M,Rural,6,Comprehensive,303.17,High,0,0,3,4,0
349,42,M,Suburban,4,Third_Party,202.12,Medium,1,0,5,1,0
350,41,F,Suburban,1,Comprehensive,277.25,High,1,0,2,3,0
351,47,M,Suburban,6,Third_Party,236.15,Medium,0,15,2,3,1
352,57,F,Urban,10,Comprehensive,281.91,Medium,1,15,4,2,0
353,44,F,Suburban,8,Third_Party,227.99,High,0,0,2,4,0
354,55,F,Urban,7,Basic,136.37,High,0,0,2,2,0
355,41,M,Suburban,8,Comprehensive,277.06,Medium,1,0,5,0,0
356,48,F,Urban,2,Comprehensive,319.82,Medium,1,0,3,0,0
357,25,F,Suburban,1,Basic,138.87,Low,0,0,2,2,0
358,59,M,Suburban,19,Comprehensive,289.07,Medium,1,13,2,0,0
359,57,M,Urban,9,Third_Party,225.92,Low,0,0,4,2,0
360,38,M,Suburban,11,Third_Party,156.06,High,0,0,4,1,0
361,58,M,Suburban,8,Comprehensive,328.76,Medium,0,0,4,1,0
362,36,M,Suburban,1,Comprehensive,293.07,Medium,1,0,5,3,0
363,40,M,Rural,2,Basic,100.0,Medium,1,0,2,2,0
364,58,F,Urban,7,Third_Party,224.67,Low,1,17,1,2,1
365,31,F,Urban,4,Third_Party,243.23,Low,0,0,5,3,0
366,57,M,Suburban,9,Comprehensive,334.52,Low,0,9,5,4,0
367,61,M,Urban,7,Basic,160.96,Low,0,0,5,2,0
368,52,F,Urban,6,Third_Party,210.64,High,0,0,5,2,0
369,36,M,Rural,4,Third_Party,237.39,Medium,1,0,5,0,0
370,41,F,Urban,1,Comprehensive,279.83,High,0,0,2,3,0
371,46,M,Urban,5,Comprehensive,326.26,Medium,0,0,4,0,0
372,55,F,Suburban,13,Comprehensive,297.4,Low,1,0,5,6,0
373,51,F,Urban,6,Comprehensive,291.0,Medium,0,0,2,3,0
374,41,M,Urban,1,Comprehensive,286.05,High,0,18,2,0,1
375,35,F,Rural,2,Comprehensive,320.86,Medium,0,0,1,4,0
376,53,F,Suburban,6,Comprehensive,288.47,High,0,0,3,0,0
377,59,M,Urban,11,Basic,100.0,Medium,1,13,3,3,0
378,35,M,Rural,2,Comprehensive,328.39,Medium,1,15,2,1,1
379,65,M,Urban,10,Third_Party,218.2,Medium,0,0,3,1,0
380,38,M,Urban,5,Third_Party,218.12,Medium,0,0,2,2,0
381,64,M,Suburban,2,Basic,131.61,High,0,0,3,4,0
382,66,F,Urban,2,Third_Party,249.46,High,0,17,3,3,1
383,51,M,Urban,2,Comprehensive,311.01,Medium,0,0,3,2,0
384,23,M,Urban,2,Third_Party,159.4,High,0,0,3,3,0
385,64,F,Urban,1,Third_Party,222.01,Medium,2,10,1,3,0
386,35,M,Suburban,2,Third_Party,194.69,Medium,0,0,4,3,0
387,46,F,Urban,1,Comprehensive,335.31,Medium,0,14,1,1,1
388,31,F,Rural,1,Comprehensive,312.8,Low,0,0,1,3,0
389,50,M,Suburban,1,Third_Party,208.73,Low,0,0,4,5,0
390,40,M,Rural,4,Comprehensive,274.71,Low,0,0,5,2,0
